alpha_taste,alpha_pantry,alpha_nutrition,recall@10,useful_recall@10,useful_rate@10,feasible_rate@10,near_rate@10
0.0,0.0,1.0,0.0125,0.0,0.012400000000000029,0.3655500000000015,0.038999999999999986
0.0,0.05,0.95,0.014,0.0,0.014950000000000028,0.38225000000000087,0.038999999999999986
0.0,0.1,0.9,0.0145,0.0,0.014950000000000028,0.40020000000000044,0.038999999999999986
0.0,0.15,0.85,0.014,0.0,0.014950000000000028,0.42169999999999985,0.038999999999999986
0.0,0.2,0.8,0.0125,0.0,0.014950000000000028,0.4488499999999998,0.038999999999999986
0.0,0.25,0.75,0.0135,0.0,0.014950000000000028,0.48324999999999885,0.038999999999999986
0.0,0.3,0.7,0.013,0.0,0.014950000000000028,0.5174999999999988,0.038999999999999986
0.0,0.35,0.65,0.0135,0.0,0.014950000000000028,0.5547499999999989,0.038999999999999986
0.0,0.4,0.6,0.011,0.0,0.014900000000000028,0.5867999999999997,0.03889999999999998
0.0,0.45,0.55,0.0105,0.0,0.014800000000000025,0.6155999999999993,0.038499999999999986
0.0,0.5,0.5,0.011,0.0,0.014700000000000024,0.6446000000000001,0.03814999999999998
0.0,0.55,0.45,0.011,0.0,0.014550000000000023,0.6708499999999996,0.03739999999999999
0.0,0.6,0.4,0.0115,0.0,0.01415000000000002,0.6967999999999988,0.03570000000000001
0.0,0.65,0.35,0.0115,0.0,0.013850000000000019,0.7189500000000008,0.034500000000000045
0.0,0.7,0.3,0.013,0.0,0.013600000000000015,0.73315,0.03290000000000003
0.0,0.75,0.25,0.0135,0.0,0.013200000000000014,0.7430999999999999,0.03100000000000008
0.0,0.8,0.2,0.0135,0.0,0.012600000000000009,0.7488500000000007,0.029300000000000066
0.0,0.85,0.15,0.0135,0.0,0.012200000000000006,0.7537500000000003,0.027950000000000048
0.0,0.9,0.1,0.0135,0.0,0.011950000000000004,0.7587000000000005,0.027150000000000042
0.0,0.95,0.05,0.014,0.0,0.011900000000000004,0.7609500000000009,0.02690000000000004
0.0,1.0,0.0,0.015,0.0,0.011100000000000002,0.7589499999999999,0.024950000000000017
0.05,0.0,0.95,0.015,0.0005,0.008199999999999987,0.3597500000000014,0.038999999999999986
0.05,0.05,0.9,0.0145,0.0,0.012300000000000021,0.37895000000000073,0.038999999999999986
0.05,0.1,0.85,0.015,0.0,0.012300000000000021,0.3973000000000002,0.038999999999999986
0.05,0.15,0.8,0.015,0.0,0.012300000000000021,0.4216999999999999,0.038999999999999986
0.05,0.2,0.75,0.014,0.0,0.012300000000000021,0.45174999999999976,0.038999999999999986
0.05,0.25,0.7,0.013,0.0,0.012300000000000021,0.48814999999999864,0.038999999999999986
0.05,0.3,0.65,0.014,0.0,0.012300000000000021,0.5258999999999993,0.038999999999999986
0.05,0.35,0.6,0.0135,0.0,0.012300000000000021,0.5624499999999983,0.038999999999999986
0.05,0.4,0.55,0.013,0.0,0.01225000000000002,0.5955499999999992,0.038749999999999986
