alpha_taste,alpha_pantry,alpha_nutrition,recall@10,useful_recall@10,useful_rate@10,feasible_rate@10,near_rate@10
0.0,0.0,1.0,0.011,0.0,5e-05,0.22450000000000084,5e-05
0.0,0.05,0.95,0.0105,0.0,5e-05,0.23020000000000082,5e-05
0.0,0.1,0.9,0.0115,0.0,5e-05,0.26804999999999907,5e-05
0.0,0.15,0.85,0.0125,0.0,5e-05,0.31439999999999935,5e-05
0.0,0.2,0.8,0.0135,0.0,5e-05,0.34174999999999794,5e-05
0.0,0.25,0.75,0.014,0.0,5e-05,0.3541499999999974,5e-05
0.0,0.3,0.7,0.0165,0.0,5e-05,0.41809999999999575,5e-05
0.0,0.35,0.65,0.0185,0.0,5e-05,0.5075500000000029,5e-05
0.0,0.4,0.6,0.018,0.0,5e-05,0.5226500000000036,5e-05
0.0,0.45,0.55,0.0185,0.0,5e-05,0.5468000000000042,5e-05
0.0,0.5,0.5,0.0165,0.0,5e-05,0.5991000000000056,5e-05
0.0,0.55,0.45,0.016,0.0,5e-05,0.6475000000000033,5e-05
0.0,0.6,0.4,0.0185,0.0,5e-05,0.7956000000000029,5e-05
0.0,0.65,0.35,0.0175,0.0,5e-05,0.8075000000000029,5e-05
0.0,0.7,0.3,0.0165,0.0,0.0,0.8418000000000054,0.0
0.0,0.75,0.25,0.017,0.0,0.0,0.8560000000000101,0.0
0.0,0.8,0.2,0.0175,0.0,0.0,0.8672500000000091,0.0
0.0,0.85,0.15,0.0175,0.0,0.0,0.8754500000000103,0.0
0.0,0.9,0.1,0.017,0.0,0.0,0.8966500000000087,0.0
0.0,0.95,0.05,0.017,0.0,0.0,0.9094000000000063,0.0
0.0,1.0,0.0,0.0165,0.0,0.0,0.9115000000000062,0.0
0.05,0.0,0.95,0.012,0.0,5e-05,0.22715000000000093,5e-05
0.05,0.05,0.9,0.0115,0.0,5e-05,0.2384000000000006,5e-05
0.05,0.1,0.85,0.013,0.0,5e-05,0.27609999999999874,5e-05
0.05,0.15,0.8,0.0125,0.0,5e-05,0.3226999999999986,5e-05
0.05,0.2,0.75,0.014,0.0,5e-05,0.3601999999999964,5e-05
0.05,0.25,0.7,0.015,0.0,5e-05,0.37934999999999586,5e-05
0.05,0.3,0.65,0.017,0.0,5e-05,0.4619499999999988,5e-05
0.05,0.35,0.6,0.018,0.0,5e-05,0.5142000000000032,5e-05
0.05,0.4,0.55,0.0195,0.0,5e-05,0.5325000000000036,5e-05
0.05,0.45,0.5,0.0175,0.0,5e-05,0.5524000000000038,5e-05
0.05,0.5,0.45,0.016,0.0,5e-05,0.6238500000000051,5e-05
0.05,0.55,0.4,0.018,0.0,5e-05,0.7329999999999938,5e-05
0.05,0.6,0.35,0.0185,0.0,5e-05,0.800100000000003,5e-05
0.05,0.65,0.3,0.019,0.0,5e-05,0.8162000000000045,5e-05
0.05,0.7,0.25,0.0185,0.0,0.0,0.8518500000000095,0.0
0.05,0.75,0.2,0.0175,0.0,0.0,0.8584000000000107,0.0
0.05,0.8,0.15,0.0175,0.0,0.0,0.8708500000000099,0.0
0.05,0.85,0.1,0.0175,0.0,0.0,0.8816000000000117,0.0
0.05,0.9,0.05,0.017,0.0,0.0,0.907050000000007,0.0
0.05,0.95,0.0,0.0165,0.0,0.0,0.910600000000007,0.0
0.1,0.0,0.9,0.0125,0.0,5e-05,0.22980000000000075,5e-05
0.1,0.05,0.85,0.0125,0.0,5e-05,0.2407000000000005,5e-05
0.1,0.1,0.8,0.013,0.0,5e-05,0.28099999999999875,5e-05
0.1,0.15,0.75,0.013,0.0,5e-05,0.3343999999999978,5e-05
0.1,0.2,0.7,0.014,0.0,5e-05,0.3638999999999966,5e-05
0.1,0.25,0.65,0.016,0.0,5e-05,0.3777499999999952,5e-05
0.1,0.3,0.6,0.0175,0.0,5e-05,0.4822000000000005,5e-05
0.1,0.35,0.55,0.019,0.0,5e-05,0.5174500000000025,5e-05
0.1,0.4,0.5,0.019,0.0,5e-05,0.5403500000000035,5e-05
0.1,0.45,0.45,0.0175,0.0,5e-05,0.5820000000000044,5e-05
0.1,0.5,0.4,0.0175,0.0,5e-05,0.6509500000000047,5e-05
0.1,0.55,0.35,0.019,0.0,5e-05,0.788650000000003,5e-05
0.1,0.6,0.3,0.0195,0.0,5e-05,0.8060000000000029,5e-05
0.1,0.65,0.25,0.0185,0.0,0.0,0.8387000000000077,0.0
0.1,0.7,0.2,0.018,0.0,0.0,0.8541500000000101,0.0
0.1,0.75,0.15,0.0175,0.0,0.0,0.8632500000000111,0.0
0.1,0.8,0.1,0.017,0.0,0.0,0.874700000000012,0.0
0.1,0.85,0.05,0.017,0.0,0.0,0.8893000000000104,0.0
0.1,0.9,0.0,0.0165,0.0,0.0,0.9085000000000075,0.0
0.15,0.0,0.85,0.0135,0.0,5e-05,0.22515000000000096,5e-05
0.15,0.05,0.8,0.013,0.0,5e-05,0.23785000000000067,5e-05
0.15,0.1,0.75,0.013,0.0,5e-05,0.28104999999999825,5e-05
0.15,0.15,0.7,0.0135,0.0,5e-05,0.33359999999999745,5e-05
0.15,0.2,0.65,0.0135,0.0,5e-05,0.362349999999996,5e-05
0.15,0.25,0.6,0.0175,0.0,5e-05,0.38094999999999446,5e-05
0.15,0.3,0.55,0.018,0.0,5e-05,0.4981000000000014,5e-05
0.15,0.35,0.5,0.0185,0.0,5e-05,0.5202500000000023,5e-05
0.15,0.4,0.45,0.019,0.0,5e-05,0.5499000000000035,5e-05
0.15,0.45,0.4,0.0165,0.0,5e-05,0.6156000000000041,5e-05
0.15,0.5,0.35,0.0195,0.0,5e-05,0.7284499999999954,5e-05
0.15,0.55,0.3,0.0185,0.0,5e-05,0.7917500000000041,5e-05
0.15,0.6,0.25,0.019,0.0,0.0,0.8198500000000053,0.0
0.15,0.65,0.2,0.018,0.0,0.0,0.8463500000000094,0.0
0.15,0.7,0.15,0.018,0.0,0.0,0.8568500000000101,0.0
0.15,0.75,0.1,0.0175,0.0,0.0,0.8679000000000114,0.0
