alpha_taste,alpha_pantry,alpha_nutrition,recall@10,useful_recall@10,useful_rate@10,feasible_rate@10,near_rate@10
0.0,0.0,1.0,0.012,0.0,0.0,0.09304999999999823,0.0
0.0,0.05,0.95,0.012,0.0,0.0,0.09564999999999822,0.0
0.0,0.1,0.9,0.0125,0.0,0.0,0.09914999999999813,0.0
0.0,0.15,0.85,0.0125,0.0,0.0,0.12029999999999771,0.0
0.0,0.2,0.8,0.013,0.0,0.0,0.13719999999999816,0.0
0.0,0.25,0.75,0.0135,0.0,0.0,0.17780000000000093,0.0
0.0,0.3,0.7,0.0115,0.0,0.0,0.19649999999999948,0.0
0.0,0.35,0.65,0.0125,0.0,0.0,0.2979999999999999,0.0
0.0,0.4,0.6,0.0125,0.0,0.0,0.3344999999999965,0.0
0.0,0.45,0.55,0.0115,0.0,0.0,0.34634999999999677,0.0
0.0,0.5,0.5,0.0115,0.0,0.0,0.35179999999999717,0.0
0.0,0.55,0.45,0.013,0.0,0.0,0.36459999999999737,0.0
0.0,0.6,0.4,0.012,0.0,0.0,0.3724499999999979,0.0
0.0,0.65,0.35,0.012,0.0,0.0,0.4294499999999995,0.0
0.0,0.7,0.3,0.0115,0.0,0.0,0.47955000000000436,0.0
0.0,0.75,0.25,0.0105,0.0,0.0,0.4877000000000043,0.0
0.0,0.8,0.2,0.0105,0.0,0.0,0.4948000000000045,0.0
0.0,0.85,0.15,0.0105,0.0,0.0,0.5019000000000027,0.0
0.0,0.9,0.1,0.0105,0.0,0.0,0.5067500000000025,0.0
0.0,0.95,0.05,0.01,0.0,0.0,0.5080500000000027,0.0
0.0,1.0,0.0,0.011,0.0,0.0,0.5203500000000019,0.0
0.05,0.0,0.95,0.012,0.0,0.0,0.09319999999999823,0.0
0.05,0.05,0.9,0.012,0.0,0.0,0.09624999999999823,0.0
0.05,0.1,0.85,0.0125,0.0,0.0,0.09989999999999812,0.0
0.05,0.15,0.8,0.0125,0.0,0.0,0.12144999999999773,0.0
0.05,0.2,0.75,0.013,0.0,0.0,0.1384999999999982,0.0
0.05,0.25,0.7,0.013,0.0,0.0,0.18305000000000102,0.0
0.05,0.3,0.65,0.0115,0.0,0.0,0.2394999999999991,0.0
0.05,0.35,0.6,0.0125,0.0,0.0,0.32994999999999663,0.0
0.05,0.4,0.55,0.0115,0.0,0.0,0.33674999999999683,0.0
