alpha_taste,alpha_pantry,alpha_nutrition,recall@10,useful_recall@10,useful_rate@10,feasible_rate@10,near_rate@10
0.0,0.0,1.0,0.012,0.0,0.0,0.16494999999999918,0.0
0.0,0.05,0.95,0.0125,0.0,0.0,0.1669999999999996,0.0
0.0,0.1,0.9,0.0125,0.0,0.0,0.18879999999999933,0.0
0.0,0.15,0.85,0.0125,0.0,0.0,0.20854999999999946,0.0
0.0,0.2,0.8,0.0115,0.0,0.0,0.24465000000000123,0.0
0.0,0.25,0.75,0.0115,0.0,0.0,0.2511000000000012,0.0
0.0,0.3,0.7,0.011,0.0,0.0,0.33559999999999834,0.0
0.0,0.35,0.65,0.011,0.0,0.0,0.35229999999999745,0.0
0.0,0.4,0.6,0.0115,0.0,0.0,0.3884499999999986,0.0
0.0,0.45,0.55,0.0105,0.0,0.0,0.3954499999999981,0.0
0.0,0.5,0.5,0.0095,0.0,0.0,0.40844999999999876,0.0
0.0,0.55,0.45,0.0085,0.0,0.0,0.4079499999999972,0.0
0.0,0.6,0.4,0.008,0.0,0.0,0.44474999999999865,0.0
0.0,0.65,0.35,0.009,0.0,0.0,0.4511999999999985,0.0
0.0,0.7,0.3,0.009,0.0,0.0,0.47130000000000016,0.0
0.0,0.75,0.25,0.009,0.0,0.0,0.47390000000000015,0.0
0.0,0.8,0.2,0.009,0.0,0.0,0.48265000000000013,0.0
0.0,0.85,0.15,0.008,0.0,0.0,0.48445000000000005,0.0
0.0,0.9,0.1,0.0085,0.0,0.0,0.4851500000000001,0.0
0.0,0.95,0.05,0.0085,0.0,0.0,0.4851500000000001,0.0
0.0,1.0,0.0,0.0085,0.0,0.0,0.4854000000000001,0.0
0.05,0.0,0.95,0.012,0.0,0.0,0.16509999999999914,0.0
0.05,0.05,0.9,0.0125,0.0,0.0,0.16724999999999965,0.0
0.05,0.1,0.85,0.0125,0.0,0.0,0.18849999999999936,0.0
0.05,0.15,0.8,0.0125,0.0,0.0,0.21279999999999955,0.0
0.05,0.2,0.75,0.0115,0.0,0.0,0.24610000000000112,0.0
0.05,0.25,0.7,0.0105,0.0,0.0,0.268450000000001,0.0
0.05,0.3,0.65,0.0105,0.0,0.0,0.33684999999999815,0.0
0.05,0.35,0.6,0.011,0.0,0.0,0.37774999999999886,0.0
0.05,0.4,0.55,0.011,0.0,0.0,0.3897999999999985,0.0
0.05,0.45,0.5,0.0095,0.0,0.0,0.40554999999999874,0.0
0.05,0.5,0.45,0.0095,0.0,0.0,0.4108499999999983,0.0
0.05,0.55,0.4,0.009,0.0,0.0,0.42704999999999704,0.0
0.05,0.6,0.35,0.0095,0.0,0.0,0.4349499999999969,0.0
0.05,0.65,0.3,0.01,0.0,0.0,0.4548499999999986,0.0
0.05,0.7,0.25,0.009,0.0,0.0,0.47135000000000016,0.0
0.05,0.75,0.2,0.01,0.0,0.0,0.4792500000000007,0.0
0.05,0.8,0.15,0.0085,0.0,0.0,0.4826500000000003,0.0
0.05,0.85,0.1,0.009,0.0,0.0,0.48535,0.0
0.05,0.9,0.05,0.0095,0.0,0.0,0.4856000000000001,0.0
0.05,0.95,0.0,0.01,0.0,0.0,0.48595000000000005,0.0
0.1,0.0,0.9,0.012,0.0,0.0,0.1629999999999991,0.0
0.1,0.05,0.85,0.0125,0.0,0.0,0.16584999999999975,0.0
0.1,0.1,0.8,0.0125,0.0,0.0,0.1878499999999993,0.0
0.1,0.15,0.75,0.012,0.0,0.0,0.22099999999999964,0.0
0.1,0.2,0.7,0.011,0.0,0.0,0.24680000000000102,0.0
0.1,0.25,0.65,0.0105,0.0,0.0,0.2938000000000001,0.0
0.1,0.3,0.6,0.011,0.0,0.0,0.3395999999999981,0.0
0.1,0.35,0.55,0.011,0.0,0.0,0.384699999999999,0.0
0.1,0.4,0.5,0.0105,0.0,0.0,0.3935499999999982,0.0
0.1,0.45,0.45,0.0095,0.0,0.0,0.4092999999999984,0.0
0.1,0.5,0.4,0.0095,0.0,0.0,0.4131999999999966,0.0
0.1,0.55,0.35,0.0095,0.0,0.0,0.430849999999997,0.0
0.1,0.6,0.3,0.009,0.0,0.0,0.43809999999999677,0.0
0.1,0.65,0.25,0.01,0.0,0.0,0.46759999999999974,0.0
0.1,0.7,0.2,0.011,0.0,0.0,0.47705000000000064,0.0
0.1,0.75,0.15,0.009,0.0,0.0,0.48055000000000053,0.0
0.1,0.8,0.1,0.009,0.0,0.0,0.48635000000000017,0.0
0.1,0.85,0.05,0.0095,0.0,0.0,0.48665000000000014,0.0
0.1,0.9,0.0,0.01,0.0,0.0,0.4865000000000001,0.0
